Pro,Link,Con,Link
"Since the beginning of the Industrial Revolution, the acidity of surface ocean waters has increased by about 30 percent. This increase is the result of humans emitting more carbon dioxide into the atmosphere and hence more being absorbed into the oceans. The amount of carbon dioxide absorbed by the upper layer of the oceans is increasing by about 2 billion tons per year.",https://climate.nasa.gov/causes/,,
"Humans have increased atmospheric CO2 concentration by more than a third since the Industrial Revolution began. This is the most important long-lived ""forcing"" of climate change.",,,
"A powerful greenhouse gas produced by soil cultivation practices, especially the use of commercial and organic fertilizers, fossil fuel combustion, nitric acid production, and biomass burning.",,,
"A hydrocarbon gas produced both through natural sources and human activities, including the decomposition of wastes in landfills, agriculture, and especially rice cultivation, as well as ruminant digestion and manure management associated with domestic livestock.",,,
"On Earth, human activities are changing the natural greenhouse. Over the last century the burning of fossil fuels like coal and oil has increased the concentration of atmospheric carbon dioxide (CO2). This happens because the coal or oil burning process combines carbon with oxygen in the air to make CO2. To a lesser extent, the clearing of land for agriculture, industry, and other human activities has increased concentrations of greenhouse gases.",,,
"The industrial activities that our modern civilization depends upon have raised atmospheric carbon dioxide levels from 280 parts per million to 400 parts per million in the last 150 years. The panel also concluded there's a better than 95 percent probability that human-produced greenhouse gases such as carbon dioxide, methane and nitrous oxide have caused much of the observed increase in Earth's temperatures over the past 50 years.",,,
Climate models that include solar irradiance changes can’t reproduce the observed temperature trend over the past century or more without including a rise in greenhouse gases.,,,
"CO2 is the greenhouse gas most commonly produced by human activities and it is responsible for 64% of man-made global warming. Its concentration in the atmosphere is currently 40% higher than it was when industrialisation began.  Other greenhouse gases are emitted in smaller quantities, but they trap heat far more effectively than CO2, and in some cases are thousands of times stronger. Methane is responsible for 17% of man-made global warming, nitrous oxide for 6%.",https://ec.europa.eu/clima/change/causes_en,,
"Scientists agree that today’s warming is primarily caused by humans putting too much carbon in the atmosphere, like when we choose to extract and burn coal, oil, and gas, or cut down and burn forests. Scientists have gathered evidence and have improved their methods for teasing apart natural and human factors. Today scientists have very high confidence about human-caused global average surface temperature increase – a key climate indicator. ",https://www.ucsusa.org/global-warming/science-and-impacts/science/human-contribution-to-gw-faq.html#!,,
"Emissions from cars and power plants and an increase in the amount of radiation the sun emits are examples of ""forcings"" that drive temperature rise, the first one by trapping heat, and the second one by increasing energy, which translated into heat. Volcanic events and some types of human-made pollution, both of which inject sunlight-reflecting aerosols (i.e., tiny particles) into the atmosphere, lower temperature and are examples of forcings that drive decreases in temperature.",,,
A recent study found that “almost two-thirds of the impacts related to atmospheric and ocean temperature can be confidently attributed to anthropogenic forcing” (meaning human caused drivers).,,,
"Human climate drivers include heat-trapping emissions from burning coal, gas and oil in power plants and cars; cutting down and burning forests; tiny pollution particles (aerosols); black carbon pollution more commonly referred to as soot; and changes in land use that also affects Earth’s albedo. Fossil fuel burning by humans emits tiny particles in addition to releasing CO2 in the atmosphere. Some particles reflect sunlight back to space (aerosols), similar to the volcanic particles, having a cooling effect.",,,
"No doubt human population growth is a major contributor to global warming, given that humans use fossil fuels to power their increasingly mechanized lifestyles. More people means more demand for oil, gas, coal and other fuels mined or drilled from below the Earth’s surface that, when burned, spew enough carbon dioxide (CO2) into the atmosphere to trap warm air inside like a greenhouse.",https://www.scientificamerican.com/article/population-growth-climate-change/,,
"According to the United Nations Population Fund, fast-growing developing countries (like China and India) will contribute more than half of global CO2 emissions by 2050",,,
"According to the United Nations Population Fund, human population grew from 1.6 billion to 6.1 billion people during the course of the 20th century. (Think about it: It took all of time for population to reach 1.6 billion; then it shot to 6.1 billion over just 100 years.) During that time emissions of CO2, the leading greenhouse gas, grew 12-fold.",,,
